LOCALIDAD,CASOS_SIN_GRIPA,NINOS_ENCUESTADOS,SEXO,ESTRATO,ASEGURAMIENTO
Fontibón,0.0,11,Hombre,4,Contributivo (EPS)
Fontibón,0.0,1,Hombre,5,Contributivo (EPS)
Fontibón,0.0,1,Hombre,2,Régimen excepcional
Fontibón,1.0,6,Hombre,2,Subsidiado (EPSS)
Fontibón,0.0,12,Hombre,3,Subsidiado (EPSS)
Fontibón,0.0,15,Mujer,2,Contributivo (EPS)
Fontibón,7.0,26,Mujer,3,Contributivo (EPS)
Fontibón,3.0,12,Mujer,4,Contributivo (EPS)
Fontibón,0.0,1,Mujer,3,Ninguno
Fontibón,1.0,7,Mujer,2,Subsidiado (EPSS)
Fontibón,2.0,8,Mujer,3,Subsidiado (EPSS)
Kennedy,1.0,4,Hombre,1,Contributivo (EPS)
Kennedy,5.0,43,Hombre,2,Contributivo (EPS)
Kennedy,7.0,19,Hombre,3,Contributivo (EPS)
Kennedy,0.0,1,Hombre,4,Contributivo (EPS)
Kennedy,0.0,1,Hombre,2,Ninguno
Kennedy,1.0,1,Hombre,3,Ninguno
Kennedy,0.0,2,Hombre,2,Régimen excepcional
Kennedy,5.0,26,Hombre,2,Subsidiado (EPSS)
Kennedy,2.0,7,Hombre,3,Subsidiado (EPSS)
Kennedy,3.0,48,Mujer,2,Contributivo (EPS)
Kennedy,6.0,19,Mujer,3,Contributivo (EPS)
Kennedy,0.0,1,Mujer,4,Contributivo (EPS)
Kennedy,0.0,2,Mujer,2,Régimen excepcional
Kennedy,0.0,2,Mujer,3,Régimen excepcional
Kennedy,0.0,2,Mujer,1,Subsidiado (EPSS)
Kennedy,2.0,25,Mujer,2,Subsidiado (EPSS)
Kennedy,2.0,5,Mujer,3,Subsidiado (EPSS)
Los Mártires,6.0,22,Hombre,3,Contributivo (EPS)
Los Mártires,2.0,2,Hombre,3,Régimen excepcional
Los Mártires,1.0,6,Hombre,2,Subsidiado (EPSS)
Los Mártires,6.0,20,Hombre,3,Subsidiado (EPSS)
Los Mártires,1.0,2,Mujer,2,Contributivo (EPS)
Los Mártires,5.0,15,Mujer,3,Contributivo (EPS)
Los Mártires,0.0,1,Mujer,3,Ninguno
Los Mártires,0.0,2,Mujer,3,Régimen excepcional
Los Mártires,0.0,1,Mujer,1,Subsidiado (EPSS)
Los Mártires,1.0,1,Mujer,2,Subsidiado (EPSS)
Los Mártires,3.0,16,Mujer,3,Subsidiado (EPSS)
Puente Aranda,5.0,34,Hombre,3,Contributivo (EPS)
Puente Aranda,1.0,2,Hombre,3,Régimen excepcional
Puente Aranda,4.0,8,Hombre,3,Subsidiado (EPSS)
Puente Aranda,0.0,2,Mujer,2,Contributivo (EPS)
Puente Aranda,4.0,28,Mujer,3,Contributivo (EPS)
Puente Aranda,0.0,3,Mujer,3,Régimen excepcional
Puente Aranda,2.0,9,Mujer,3,Subsidiado (EPSS)
Rafael Uribe Uribe,0.0,13,Hombre,1,Contributivo (EPS)
Rafael Uribe Uribe,1.0,12,Hombre,2,Contributivo (EPS)
Rafael Uribe Uribe,0.0,18,Hombre,3,Contributivo (EPS)
Rafael Uribe Uribe,1.0,1,Hombre,2,Ninguno
Rafael Uribe Uribe,2.0,2,Hombre,3,Régimen excepcional
Rafael Uribe Uribe,0.0,12,Hombre,1,Subsidiado (EPSS)
Rafael Uribe Uribe,3.0,14,Hombre,2,Subsidiado (EPSS)
Rafael Uribe Uribe,1.0,14,Hombre,3,Subsidiado (EPSS)
Rafael Uribe Uribe,1.0,13,Mujer,1,Contributivo (EPS)
Rafael Uribe Uribe,4.0,14,Mujer,2,Contributivo (EPS)
Rafael Uribe Uribe,4.0,19,Mujer,3,Contributivo (EPS)
Rafael Uribe Uribe,0.0,1,Mujer,3,Ninguno
Rafael Uribe Uribe,0.0,1,Mujer,2,Régimen excepcional
Rafael Uribe Uribe,0.0,1,Mujer,3,Régimen excepcional
Rafael Uribe Uribe,1.0,11,Mujer,1,Subsidiado (EPSS)
Rafael Uribe Uribe,0.0,9,Mujer,2,Subsidiado (EPSS)
Rafael Uribe Uribe,0.0,6,Mujer,3,Subsidiado (EPSS)
San Cristóbal,1.0,1,Hombre,1,Contributivo (EPS)
San Cristóbal,7.0,56,Hombre,2,Contributivo (EPS)
San Cristóbal,0.0,1,Hombre,3,Contributivo (EPS)
San Cristóbal,0.0,1,Hombre,2,Ninguno
San Cristóbal,0.0,1,Hombre,3,Ninguno
San Cristóbal,1.0,3,Hombre,2,Régimen excepcional
San Cristóbal,0.0,4,Hombre,1,Subsidiado (EPSS)
San Cristóbal,3.0,16,Hombre,2,Subsidiado (EPSS)
San Cristóbal,1.0,2,Hombre,3,Subsidiado (EPSS)
San Cristóbal,0.0,5,Mujer,1,Contributivo (EPS)
San Cristóbal,7.0,53,Mujer,2,Contributivo (EPS)
San Cristóbal,1.0,8,Mujer,3,Contributivo (EPS)
San Cristóbal,0.0,2,Mujer,3,Régimen excepcional
San Cristóbal,0.0,1,Mujer,1,Subsidiado (EPSS)
