LOCALIDAD,PM25_Promedio
Ciudad Bolívar,13.742742433600988
Engativá,16.303180439521228
Fontibón,14.605197755752524
Kennedy,16.11623551283048
Puente Aranda,14.440133965950322
San Cristóbal,16.196169471851423
Santa Fe,15.060765815760266
Suba,17.81623747168734
Tunjuelito,13.494561740243123
Usaquén,16.278625954198475
Usme,14.701072774717309
